8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0
8.35375	0.245991	-3.03823	-0.000374353	-9.39317e-06	8.44818	0.251553	8.45	0.25	-3.00027	0
8.40748	0.23908	-1.22623	-0.143526	-0.0152692	8.56759	0.241943	8.45	0.25	0	0
8.36792	0.248527	-1.22445	-0.144733	-0.0153171	8.45582	0.253997	8.45	0.25	0	0
8.29058	0.250115	-1.48569	-0.052963	0.00815887	8.42544	0.254042	8.35	0.25	-1.81979	0
8.21354	0.254515	-1.48514	-0.052348	0.00820626	8.23962	0.24916	8.25	0.25	-1.81978	0
7.99814	0.207713	-2.23454	0.173967	0.106347	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.88292	0.18769	-2.23529	0.180109	0.106658	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.70336	0.172324	-2.52544	0.142563	0.0496526	7.61269	0.155818	7.7	0.15	-2.99982	0
7.57491	0.154214	-2.52608	0.144836	0.049467	7.54016	0.159641	7.55	0.15	-2.99982	0
7.47668	0.103096	-2.37503	0.219101	0.141854	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
7.34864	0.0739187	-2.37526	0.227388	0.142588	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
7.19127	0.0206361	-2.51107	0.262079	0.16692	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
7.05785	-0.0159523	-2.51127	0.271656	0.167742	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.9549	-0.121512	-2.38537	0.432743	0.502429	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.83758	-0.178556	-2.38549	0.461241	0.504253	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
6.71508	-0.306252	-2.47153	0.617991	0.776323	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
6.61765	-0.380164	-2.47156	0.657689	0.778049	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
6.57957	-0.529184	-2.40677	0.882707	1.17855	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
6.50899	-0.624712	-2.40626	0.942427	1.17966	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
6.45334	-0.807351	-2.48606	1.15897	1.48259	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
6.40717	-0.93547	-2.48667	1.2418	1.48445	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
6.22396	-1.07955	-2.67968	1.20487	1.25359	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
6.18009	-1.21942	-2.67977	1.27501	1.25506	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
6.30824	-1.4335	-2.72589	1.58266	1.68607	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
6.31961	-1.58366	-2.72694	1.67612	1.6869	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
6.14701	-1.71608	-2.77585	1.57138	1.36791	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
6.1566	-1.85609	-2.77781	1.64105	1.36893	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
6.19015	-2.03379	-2.91989	1.74258	1.43906	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
6.22569	-2.17816	-2.92222	1.81583	1.43993	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
6.16912	-2.3229	-2.84929	1.78398	1.25489	6.32593	-2.40018	6.35	-2.4	0	-2.72613
6.21349	-2.47687	-2.85245	1.8542	1.25544	6.34927	-2.55175	6.35	-2.55	0	-2.72611
6.2563	-2.63487	-2.87206	1.90929	1.23378	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
6.31854	-2.78376	-2.87492	1.9779	1.23401	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
6.30432	-2.90895	-2.77329	1.95636	1.09338	6.46536	-3.00452	6.45	-3	0	-2.99754
6.36406	-3.03806	-2.77639	2.01135	1.09298	6.44119	-3.14955	6.45	-3.15	0	-2.99754
6.40067	-3.21	-2.84229	2.0144	1.00494	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
6.47529	-3.35112	-2.84529	2.06973	1.00443	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
6.55568	-3.51811	-2.93692	2.10588	0.976882	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
6.64682	-3.65759	-2.94064	2.15992	0.976477	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
6.68904	-3.80542	-2.87971	2.14643	0.863976	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
6.78269	-3.93898	-2.88315	2.19393	0.863187	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
6.81604	-4.09488	-2.83401	2.15632	0.722066	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
6.90762	-4.22517	-2.83667	2.19569	0.72109	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
6.91145	-4.35654	-2.65542	2.13869	0.557309	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
6.99429	-4.48006	-2.65749	2.16921	0.55685	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
7.04925	-4.61335	-2.62434	2.15894	0.488068	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
7.13343	-4.73463	-2.6268	2.18529	0.486949	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
7.22897	-4.92229	-2.80846	2.16692	0.414856	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
7.31835	-5.0505	-2.81003	2.18917	0.413785	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
